beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-0.1028908 4.054269 -9.419579 -5.218628 -7.603324 -5.702195 
-0.09459559 3.992667 -9.375379 -5.455017 -14.33137 -10.99281 
-0.1005313 3.989744 -9.701815 -8.314866 -6.74439 -12.37436 
-0.008292329 3.985669 -11.00088 -6.073062 -23.9524 -4.50238 
0.006191154 3.951455 -7.235576 -4.594501 -9.20601 -14.12231 
-0.1965303 4.01039 -9.342461 -4.248023 -17.87236 -7.870815 
-0.1183595 4.00671 -8.900184 -5.23546 -20.11156 -5.150376 
-0.07436012 3.959133 -9.758514 -4.619804 -20.15955 0.7088603 
-0.1701594 3.931504 -8.791231 -6.293106 -18.15207 -5.669466 
-0.005716225 3.920416 -8.987685 -5.194147 -16.18646 -6.411413 
0.195132 3.937213 -9.167542 -6.052371 -22.35246 -3.660835 
0.1064532 3.948767 -10.75092 -5.431797 -8.747476 -12.77899 
0.4209122 3.973842 -12.55297 -4.540206 -26.92773 -8.892077 
-0.01911657 3.914389 -9.49937 -4.864561 -22.28203 -6.12374 
1.572162 3.947967 -14.45479 -5.695932 -25.55252 -1.547754 
-0.07714835 3.97192 -9.414558 -5.273081 -22.61283 -5.466137 
0.1793851 3.995813 -8.458709 -6.862955 -22.21888 -5.026618 
-0.1710742 3.974599 -8.903036 -4.735823 -23.43479 -4.263477 
-0.02854342 4.011995 -7.281018 -6.163295 -22.90208 -5.134259 
-0.08768316 4.063117 -9.533517 -6.564817 -23.51018 -4.5185 
0.01446272 3.979324 -9.621302 -5.244302 -22.85935 -5.360758 
-0.007925749 3.921411 -8.59502 -5.79011 -21.80911 -5.83969 
-0.101351 3.935904 -7.423543 -4.145278 -22.5182 -3.86775 
0.6138657 4.000541 -6.615913 -4.548234 -21.42714 -5.753131 
3.062222 3.965848 -4.089809 -4.189703 -16.07669 -4.011292 
0.077591 3.955207 -8.757606 -5.251013 -16.78295 -5.665438 
0.5546996 3.967602 -7.810295 -6.297915 -16.52653 -3.652514 
