"Delta_1" "Delta_2"
-2.642581 4.849728
-2.700135 5.037142
-2.73206 3.397132
-2.759391 5.619049
-2.714615 5.432048
-2.93582 4.589718
-2.695628 5.680127
-2.666961 3.880644
-2.681847 5.351287
-2.815934 4.433684
-2.96508 4.10124
-2.963163 5.686624
-3.017504 5.368742
-3.084536 5.397484
-3.128147 5.547758
-3.12027 5.144083
-3.192435 4.665021
-3.121709 3.324513
-3.012692 3.983098
-2.953471 4.234991
-3.048791 4.529932
-2.909215 4.512481
-2.898365 4.848894
-2.8601 5.221979
-2.84985 5.343074
-2.823958 5.275129
-2.793246 4.591674
-2.596837 5.282362
-2.737242 4.745466
-2.789662 3.538911
-2.842095 4.708749
-2.950138 4.162573
-2.737049 5.098291
-2.828377 4.284112
-2.810581 4.023202
-2.808589 4.203991
-2.714252 4.761347
-2.778281 4.621506
-2.78372 4.874567
-2.593507 3.866715
-2.590777 4.385773
-2.657322 4.142415
-2.766062 4.316917
-2.846672 4.587086
-2.797497 3.814081
-2.814975 4.207736
-2.734225 4.408554
-2.642585 4.504081
-2.763897 4.561829
-2.795287 5.442886
-2.734169 4.640789
-2.772918 4.294571
-2.665128 4.243494
-2.584121 4.927356
-2.614234 4.100606
-2.633331 4.995766
-2.748767 5.496768
-2.851448 5.172316
-2.724263 3.95249
-2.712718 4.11455
-2.654814 3.712313
-2.759857 4.713405
-2.657538 4.242206
-2.652564 4.470578
-2.619677 4.760891
-2.669322 4.657457
-2.597322 4.553126
-2.678158 5.845944
-2.623521 5.347231
-2.757382 5.107214
-2.815519 4.694983
-2.757673 4.364494
-2.86046 4.422488
-2.698669 4.470556
-2.704797 4.65148
-2.676794 4.579583
-2.646732 4.892576
-2.710603 4.868306
-2.817851 3.689159
-2.732157 4.333085
-2.652042 3.815578
-2.669469 4.419609
-2.737838 5.469668
-2.914563 5.164541
-3.01588 4.343261
-2.956682 4.609135
-2.903415 5.658881
-2.91801 4.731224
-2.829664 4.993082
-2.943162 4.236747
-2.938626 4.908136
-3.030266 6.713826
-2.776618 3.898893
-2.890009 4.005364
-2.832869 4.788042
-2.832198 4.669749
-2.948923 3.977824
-3.011011 4.839845
-2.99862 4.724662
-2.926046 4.862177
-2.922103 4.528726
-2.869371 4.451484
-2.79829 4.312155
-2.690744 4.460129
-2.781687 5.263908
-2.66797 4.858502
