"Delta_1" "Delta_2" "Delta_3"
1.0677 -2.270954 -3.042867
1.167471 -2.331106 -2.992768
1.263771 -2.157628 -3.225485
1.200849 -2.107798 -3.134093
1.255124 -2.094308 -3.362862
1.280037 -2.145236 -3.081455
1.341474 -2.17258 -3.439677
1.272921 -2.215577 -3.323327
1.292509 -2.098977 -3.353938
1.247987 -2.029508 -3.031626
1.159727 -2.108185 -3.282541
1.227884 -2.073335 -3.387245
1.198308 -2.231956 -3.107214
1.091648 -2.236753 -2.826287
1.090725 -2.15083 -3.032348
1.132972 -2.072039 -2.769717
1.175198 -2.089384 -2.659993
1.1555 -2.086852 -2.717421
0.9988162 -2.123376 -2.682143
1.034713 -2.106019 -2.578742
1.086733 -1.930561 -2.689315
1.086498 -2.030801 -3.088003
1.107657 -1.942306 -3.001503
1.104813 -2.111369 -2.917083
1.170156 -2.083076 -3.117112
1.137452 -2.106967 -2.85728
1.163951 -2.140164 -2.93893
1.104736 -1.989834 -3.143402
1.149186 -2.138641 -3.309262
1.17066 -2.130516 -3.18074
1.148126 -2.052178 -3.352246
1.199864 -1.995489 -3.277604
1.135509 -1.933276 -2.995326
1.234688 -2.02757 -3.323542
1.1799 -2.047657 -3.090764
1.117822 -2.021843 -2.960556
1.158648 -1.893032 -2.908029
1.117582 -1.851397 -3.033882
1.115011 -1.971688 -2.805233
1.153109 -2.019567 -2.994541
1.136954 -2.032339 -3.248958
1.206969 -1.982703 -2.929386
1.187588 -2.114527 -2.798713
1.166753 -2.077137 -2.768965
1.159408 -2.08393 -2.62331
1.089296 -2.039232 -2.536949
1.086007 -2.09564 -2.466208
1.102427 -2.152858 -2.684784
1.14736 -2.054801 -2.506298
1.132872 -1.976167 -2.785284
1.09038 -1.899133 -2.788959
1.072801 -2.006914 -2.932567
1.119961 -2.114667 -2.871732
1.17419 -2.130327 -2.63612
1.175332 -2.007659 -3.123668
1.229757 -2.029804 -3.089086
1.279917 -1.959415 -3.350116
1.22464 -1.959638 -2.718551
1.124839 -1.985599 -2.537676
1.108332 -2.08973 -2.734305
1.00215 -2.252283 -2.39782
1.001732 -2.313818 -2.80835
0.9507919 -2.304466 -2.794769
1.103503 -2.350016 -2.467965
1.226756 -2.225906 -3.10776
1.213187 -2.462636 -3.099581
1.314566 -2.169816 -2.914282
1.272385 -2.275801 -2.976767
1.211865 -2.202798 -3.08517
1.167945 -2.03134 -3.25874
1.019181 -2.081234 -3.411224
1.063897 -2.040455 -3.328275
1.105755 -2.047956 -3.236672
1.215958 -1.978373 -3.147522
1.091883 -2.023091 -2.886909
1.135025 -1.896499 -2.585935
1.103422 -1.996833 -2.384948
1.082978 -1.951732 -3.020076
1.170149 -2.066304 -3.169785
1.11672 -2.134128 -3.128369
1.117914 -2.119189 -2.765138
1.021749 -2.131216 -2.603984
1.139609 -2.122976 -2.642946
1.312332 -2.147851 -3.140655
1.256181 -2.256347 -2.887064
1.224681 -2.139107 -2.879213
1.10483 -2.138581 -2.685906
1.02328 -2.255572 -2.936274
1.116171 -2.389126 -3.267935
1.109364 -2.283786 -3.314335
1.130625 -2.432903 -3.002113
1.182566 -2.442477 -2.983871
1.12178 -2.484332 -2.834263
1.129881 -2.384977 -2.906346
1.139184 -2.252551 -2.967383
1.146583 -2.285374 -3.02549
1.203254 -2.261942 -2.951097
1.19799 -2.354973 -2.92593
1.237866 -2.183164 -3.032614
1.143912 -2.074315 -2.851132
1.160665 -1.984347 -3.215655
1.157126 -1.961034 -2.742373
1.239877 -1.984393 -2.816688
1.248371 -1.874443 -2.91587
1.139948 -1.93318 -3.020068
1.181647 -2.080088 -2.709136
1.254777 -1.988114 -2.830099
1.189825 -2.129184 -3.004093
1.079152 -2.078368 -2.910411
1.213386 -1.897179 -2.922506
1.156017 -2.063049 -2.839591
1.155787 -2.019001 -2.790161
1.183817 -2.06905 -2.90194
1.074177 -2.153762 -2.965049
1.175288 -2.13471 -2.363245
1.143891 -2.179998 -2.696237
1.115502 -2.194171 -2.596703
1.126859 -2.205531 -2.731221
1.140702 -2.075856 -2.661784
1.101405 -1.91733 -2.58088
1.11209 -1.842915 -2.582719
1.090096 -1.792407 -2.707578
1.090909 -1.751319 -2.815322
1.104987 -1.852556 -2.988859
1.150332 -1.832713 -3.031066
