"tau2_1" "tau2_2" "tau2_3" "tau2_4"
0.0395051 0.09476892 0.1986764 0.1126752
722978726 0.1455969 0.1443048 0.1665468
1.46974 0.050427 0.06279723 0.1232873
64982061 0.01764649 0.2053065 0.08397836
0.3857483 0.2429166 0.05812587 0.09876034
0.2811211 0.06768756 0.03534587 0.2114004
491.4423 0.0315766 0.1199817 0.1537272
41.72449 0.08618882 0.06023887 0.1030061
3.383905 0.04709883 0.09518049 0.06863452
11.26908 0.07858373 0.053389 0.09932189
0.3624192 0.04610418 0.09482068 0.1193247
3.504745 0.02309927 0.135039 0.09555042
1.573991 0.118703 0.05814609 0.1283737
0.9274581 0.06189747 0.03588783 0.1830577
6.639872 0.05898983 0.04110534 0.144232
25.01077 0.02637548 0.05788622 0.08422637
62.05524 0.1652827 0.3047636 0.119406
0.5265027 0.05450332 0.07463817 0.07870422
2.801707 0.02958207 0.07506922 0.09931939
2.45157 0.2038811 0.1856642 0.09467531
1.160898 0.06385303 0.08866771 0.1145205
1.421917 0.01586521 0.1442764 0.05321004
2.710752 0.04504455 0.07806754 0.06041922
2072193 0.05127779 0.09104867 0.0726732
1.101418e+13 0.1724599 0.05004704 0.1769978
1.243797 0.03191547 0.1037221 0.1568867
71229431550 0.03409161 0.1378127 0.1271851
1.609025 0.03120642 0.03505733 0.08476465
0.135517 0.1046336 0.1133604 0.09684319
0.4802791 0.1023898 0.1005121 0.1837495
5.566943 0.0746564 0.05745077 0.1157356
304.0511 0.07707677 0.05693837 0.1213923
11.19278 0.02774688 0.0627924 0.1459253
1.12232 0.05998379 0.1346494 0.1119049
114.5501 0.06186734 0.09112523 0.2115672
0.08686152 0.02850475 0.1254725 0.1959434
558.2104 0.06538799 0.1266577 0.1104732
3971.868 0.07238383 0.1242702 0.1158892
0.5322956 0.1415898 0.1316414 0.1433783
0.4784019 0.09623878 0.1261613 0.0818572
0.5959473 0.03759596 0.04154221 0.1467143
11.45092 0.1374442 0.02412593 0.1138739
1446.655 0.1003529 0.06591787 0.1045193
0.3149929 0.01867747 0.06433822 0.07746592
16682.92 0.1466826 0.1910847 0.1281402
0.3568859 0.005512213 0.08860653 0.1608723
349.1264 0.1980307 0.08529622 0.1047635
11846434 0.03751834 0.111547 0.1223482
89.98317 0.02159018 0.1258242 0.1386668
0.4243571 0.02774931 0.1684103 0.1064756
0.4123496 0.04704341 0.05816518 0.1016014
328.4358 0.04622887 0.1928597 0.1206748
185.2794 0.07448899 0.09238009 0.1397644
272352.9 0.03289012 0.06073419 0.1417912
2040495 0.0214131 0.07413384 0.08322974
0.07275734 0.0501223 0.1084749 0.1077767
2.716493 0.07344444 0.04423031 0.1528143
8111182465 0.1299603 0.05888808 0.1389997
50.1235 0.03882246 0.08429943 0.1301488
3.105817 0.06319079 0.2065084 0.1640871
3.553389 0.06547864 0.08867371 0.1375884
5678.32 0.04330973 0.07797403 0.1412716
0.05870731 0.05744033 0.1777588 0.09887571
98.30565 0.05049991 0.1434873 0.07006322
9.958634 0.03718715 0.0935703 0.07307312
1.19657 0.01941581 0.1708429 0.1100915
0.1695865 0.0609299 0.2708642 0.1907545
1.311419e+12 0.01222932 0.1557984 0.1423051
86200955 0.01878189 0.1051657 0.1231803
9.955781 0.02726524 0.1585217 0.1143332
9418069593 0.09417993 0.2001876 0.1086523
674.1281 0.05227706 0.02549331 0.1533904
5.619133 0.0728096 0.09239573 0.110126
3374.789 0.02583297 0.2578879 0.05816439
4.833187e+13 0.02113626 0.6103404 0.1858888
1944.603 0.04993705 0.1915739 0.05914064
0.7997949 0.0398792 0.05302015 0.1767146
63.88265 0.06956056 0.06323579 0.1036742
32184.66 0.1165048 0.05284312 0.1201992
183.9409 0.0104833 0.1358362 0.1139825
0.05462427 0.03888694 0.08668804 0.1290139
207489.4 0.03183882 0.09993627 0.08196867
265.3763 0.07282059 0.06392714 0.103543
0.4616092 0.0644233 0.08569596 0.07274083
1.676047 0.01234902 0.07704291 0.05716891
