Delta_1 Delta_2 Delta_3 Delta_4 
-2.756773 1.294968 -0.3819006 -4.37376 
-1.32697 1.350826 6.48092 5.349601 
-0.3160941 1.499959 10.12858 15.94065 
-1.148574 1.144082 -6.188609 15.47013 
2.113242 0.838923 -13.34517 9.325183 
1.059531 0.8459803 4.083082 8.563065 
-1.281054 0.8472732 13.60796 1.616091 
-0.08371284 0.7459414 4.240016 2.314884 
-0.8962031 0.7209746 9.59993 -1.171884 
0.8112399 0.595858 0.3774016 -8.312176 
0.2809888 0.5992648 -4.836545 24.76768 
0.6313151 0.5686299 -5.993284 3.59486 
1.487206 0.5838033 -6.817402 0.4322181 
-0.08307791 0.4707004 -13.04315 2.203129 
1.019091 0.4853758 10.01004 -0.6201765 
0.6466259 0.543358 7.214144 -8.868295 
1.062313 0.7584259 6.077968 16.28336 
-0.5161167 0.9379642 3.524648 -3.615481 
-0.4957823 1.111978 0.7055566 3.264671 
-2.556746 1.068461 -1.04482 -2.574498 
2.049054 1.159173 -2.122883 6.816122 
2.496449 0.9090926 0.7016438 -1.364214 
1.481772 0.9208023 0.5307715 15.94784 
3.348061 0.7631351 -4.159144 -10.07653 
4.87586 0.7862007 -1.480216 -2.350367 
4.047635 0.896387 -0.2131027 5.094073 
2.194909 0.7510606 5.283526 -9.971426 
1.266218 0.5532795 2.652071 -2.383585 
0.7435681 0.6113946 3.698111 5.027191 
-1.391498 0.7758749 0.712938 2.514894 
-2.09252 0.8149175 -8.360528 -5.145465 
1.029107 0.7800218 4.634317 -0.3577293 
-4.465529 0.9210247 2.557371 -2.292738 
2.199887 0.860351 -1.855272 -8.749392 
-6.524032 0.9018389 -0.7180817 3.435996 
1.48996 0.9389555 0.005819053 -0.5944388 
6.195694 0.8753749 3.179511 -0.5093561 
2.306504 0.8700238 0.1750001 -0.05243389 
4.344291 0.5995284 -1.45756 -0.1401088 
-9.518071 0.6045088 -0.89156 1.180695 
0.6354594 0.7070814 1.799363 0.7387099 
0.1641266 0.69687 -0.6193867 1.771284 
-3.852089 0.7236544 0.9934432 -1.592715 
4.500184 0.7645363 -1.127375 -5.697665 
-12.88443 0.6679485 1.057334 -1.020913 
20.48827 0.6900375 -2.100124 0.7909819 
-1.186251 0.7519279 -0.6841365 -0.220901 
8.27498 0.7610361 -1.013053 -0.1655345 
3.10117 0.7844448 0.311923 -0.0603642 
-6.166046 0.8101239 -1.006309 4.260611 
9.435854 1.036442 -2.310567 -0.3006037 
-8.438821 0.824662 0.0581148 1.700451 
-7.025707 1.09217 1.751149 0.3843582 
-15.06021 1.100484 1.227766 3.257412 
-1.077779 0.9988912 1.41165 10.04379 
4.46457 0.8368411 1.384704 2.201208 
-4.182351 0.8561774 -2.056805 0.3771971 
14.93177 0.7849726 -2.02451 0.2007154 
-0.0250484 0.9588516 -1.585175 1.114295 
4.045972 0.5864771 0.8073201 4.976711 
-2.402677 0.6637457 2.039691 0.615946 
-4.295584 0.8304467 0.6359676 1.171817 
-1.100184 0.6934168 0.8889629 6.970967 
2.313545 0.5714011 -1.085749 0.214641 
2.571622 0.5840041 1.357381 -6.539845 
1.343939 0.5234531 1.154217 6.087856 
-0.6958969 0.6666374 0.1472406 -5.82059 
0.4723247 0.6520877 -0.1787589 -10.27601 
1.803183 0.7334386 1.810361 -8.345949 
0.2240031 0.7805542 0.9041757 10.12206 
2.232726 0.8796648 -1.332795 18.64227 
-6.290918 0.9076382 1.090571 5.342287 
0.08172972 0.9479972 0.9863739 6.880644 
3.597206 0.8410773 -0.7806722 -5.377566 
0.6434052 0.6623523 0.8580755 -2.155478 
-5.658227 0.7735372 -1.56427 1.39037 
0.4114767 0.64554 -2.592315 4.447075 
2.80032 0.9109971 -2.128117 -1.437013 
0.9780228 0.7583314 -2.850959 6.754689 
-1.669028 0.9693865 -2.893449 -4.415245 
-2.051027 0.9839028 -1.73425 -1.422481 
0.2886455 0.8785775 0.4750528 -1.435802 
2.681117 0.9125466 -0.7989294 10.06294 
-0.03930696 0.8108302 -0.2187469 10.92921 
-7.310728 0.9272136 0.8147273 6.098398 
1.69792 0.8687743 1.817921 7.131985 
2.148827 0.6262461 2.734207 0.4922201 
6.368421 0.7850014 0.8741118 0.2227248 
-1.248817 0.9197446 -1.299624 0.5172813 
1.549658 0.9187557 9.495696 0.6101837 
1.192348 0.8902109 -0.1495558 -0.130124 
-0.8859502 1.132484 -19.51605 1.792575 
0.5762229 0.9286108 -20.23212 -1.957384 
0.2642313 0.8200695 7.837483 0.2768733 
-0.514145 0.7975429 -2.233087 0.87519 
-0.4589185 0.958686 -4.375375 -2.034048 
-0.2475613 1.183811 -1.696226 -1.59968 
1.927087 1.178515 2.37693 0.1476528 
-0.8666796 0.8876392 0.2321913 1.742911 
1.79884 0.8938226 0.3378394 -1.15365 
11.58294 0.7597677 -2.27319 1.091684 
-12.00483 0.8701565 -1.461013 -0.07701488 
-2.652797 0.9046661 -4.387849 3.176106 
11.77729 1.069432 -0.6476758 1.350825 
-3.112883 1.186475 2.333191 -0.3916891 
-14.21099 1.095634 -2.057431 3.333561 
-18.82742 1.149715 -0.9110942 -0.5974409 
-21.12602 1.030473 -0.5422427 1.593022 
19.1126 0.9724445 0.5809574 4.736583 
12.04226 0.9949305 -1.814882 2.114348 
11.11957 1.123103 -11.40751 -1.278838 
